player_name,age,games,games_played,minutes,minutes_90s,shots,passes,passes_total_distance,tackles,tackles_won,blocks,interceptions,touches,passes_received,fouls,fouled,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
Divock Origi,29.5369863,4,3,248,2.8,7,48,377,0,0,0,0,68,56,1,0,7,7,15,0,0,0,1,0,0
Olivier Giroud,25.67945205,15,15,1350,15,0,427,8284,0,0,0,0,454,211,0,0,2,0,9,3,0,0,0,1,0
Marko Lazetić,28.75068493,8,8,711,7.9,8,558,9909,13,6,15,2,621,433,4,7,25,17,8,0,0,1,0,0,0
André Onana,31.46027397,6,6,509,5.7,4,371,6017,9,5,13,6,424,287,3,1,16,3,9,1,0,1,0,0,0
Alessandro Bastoni,25.06849315,11,4,381,4.2,2,336,3866,14,8,6,3,393,247,5,7,3,5,10,1,0,1,0,0,0
Stefan de Vrij,31.49863014,12,11,969,10.8,6,859,13180,17,10,8,12,929,591,10,16,8,12,12,1,0,1,0,0,0
Francesco Acerbi,29.30958904,15,15,1338,14.9,12,1055,15039,25,13,18,12,1147,808,13,13,12,16,1,0,0,1,0,0,0
Danilo D'Ambrosio,22.14520548,1,0,12,0.1,1,11,125,1,0,0,0,14,11,0,0,0,1,1,0,0,1,0,0,0
Federico Dimarco,28,15,13,1211,13.5,3,862,12973,31,17,14,5,941,725,6,31,6,9,11,0,0,0,0,0,1
Raoul Bellanova,31.0109589,3,0,22,0.2,0,47,747,0,0,1,0,49,46,0,1,0,1,15,0,0,0,0,0,1
Matteo Darmian,22.55890411,3,0,33,0.4,2,25,242,2,1,0,0,30,23,1,0,0,0,1,0,0,0,0,0,1
Kristjan Asllani,21.78356164,12,11,869,9.7,34,299,3151,16,6,8,0,460,338,7,16,2,1,7,0,0,0,1,0,0
Nicolò Barella,23.73150685,4,0,55,0.6,1,17,120,3,1,0,0,29,23,4,1,0,0,5,0,0,0,1,0,0
Roberto Gagliardini,27.32328767,14,8,718,8,25,240,2475,7,3,11,2,332,260,13,17,2,3,15,1,0,0,1,0,0
Denzel Dumfries,29.31232877,14,7,607,6.7,18,315,3585,14,7,2,5,403,299,6,11,3,2,9,0,0,0,1,0,0
Robin Gosens,22.76712329,10,7,514,5.7,21,253,3020,6,5,6,2,317,250,3,4,1,3,3,0,0,0,1,0,1
Henrikh Mkhitaryan,23.90684932,11,10,900,10,48,133,1259,2,0,3,2,264,199,20,14,25,26,12,3,0,0,1,0,0
Joaquín Correa,27.39178082,8,0,148,1.6,4,44,467,8,2,0,1,71,57,3,2,2,6,3,0,0,0,1,0,0
Lautaro Martínez,30.04109589,7,6,588,6.5,0,239,4418,0,0,0,0,248,128,0,1,0,0,12,4,0,0,0,1,0
Romelu Lukaku,24.42191781,4,4,360,4,2,261,4819,3,2,5,6,305,217,3,5,11,8,1,0,0,1,0,0,0
Alex Meret,35.56986301,9,6,600,6.7,2,351,6502,3,3,8,8,403,269,8,4,11,13,13,0,0,1,0,0,0
Amir Rrahmani,28.3260274,2,2,168,1.9,1,119,2134,0,0,2,1,130,104,2,0,2,2,10,1,0,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Juan Jesus,30.09863014,8,4,460,5.1,3,293,4499,7,5,4,2,338,212,1,4,6,7,15,1,1,1,0,0,0
Mathías Olivera,31.83013699,13,9,780,8.7,3,545,8714,13,6,11,10,626,378,13,9,14,11,15,0,0,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Mário Rui,31.36438356,15,14,1273,14.1,9,815,13535,26,13,11,20,951,612,15,9,19,16,15,1,1,1,0,0,0
Giovanni Di Lorenzo,24.87945205,12,12,969,10.8,11,538,8156,27,14,17,15,658,436,12,15,14,7,7,0,0,0,0,0,1
